               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039949,            0.038584,            0.015921,             0.97863,             0.98443,              0.9862,             0.49551,            0.034955,            0.033501,            0.007884,            0.002872,            0.002872,            0.002872
                  38,            0.039057,             0.04314,            0.015521,             0.92585,             0.97917,              0.9867,             0.49648,            0.036777,            0.033634,           0.0076958,            0.002674,            0.002674,            0.002674
                  39,            0.038673,            0.040754,            0.015774,             0.97694,             0.98701,             0.98653,             0.62133,            0.031265,            0.032797,           0.0075583,            0.002476,            0.002476,            0.002476
                  40,            0.035636,            0.039229,            0.015775,             0.95105,             0.98701,             0.98725,             0.59291,             0.03409,            0.033283,           0.0072932,            0.002278,            0.002278,            0.002278
                  41,             0.03873,            0.040952,            0.014253,             0.97047,             0.98701,             0.98704,             0.62345,            0.030555,            0.032873,           0.0071851,             0.00208,             0.00208,             0.00208
                  42,            0.035225,            0.037991,            0.015034,             0.97502,             0.98674,             0.98784,             0.61788,             0.03248,            0.032808,           0.0070028,            0.001882,            0.001882,            0.001882
                  43,            0.037061,            0.040379,            0.014266,             0.97554,             0.98513,              0.9892,             0.60546,            0.029964,            0.032608,           0.0069227,            0.001684,            0.001684,            0.001684
                  44,            0.033941,            0.036458,            0.013992,             0.98261,             0.98518,             0.98979,             0.56312,            0.031615,             0.03281,           0.0067799,            0.001486,            0.001486,            0.001486
                  45,            0.035834,             0.04043,             0.01502,              0.9776,             0.98052,             0.98999,             0.65824,            0.028119,            0.032185,           0.0067071,            0.001288,            0.001288,            0.001288
                  46,            0.034098,            0.035432,            0.014197,             0.97418,             0.98244,             0.98999,             0.63537,            0.029154,            0.032244,           0.0065582,             0.00109,             0.00109,             0.00109
                  47,            0.036205,            0.043053,            0.014637,             0.97343,              0.9818,             0.98997,             0.64974,            0.028268,            0.032078,           0.0065028,            0.000892,            0.000892,            0.000892
                  48,            0.033538,            0.038707,            0.012375,             0.97373,             0.98241,             0.99026,             0.63794,            0.028625,            0.032145,           0.0063533,            0.000694,            0.000694,            0.000694
                  49,            0.033868,            0.039258,             0.01491,             0.97306,             0.98417,             0.99026,             0.66227,             0.02798,            0.032036,           0.0062949,            0.000496,            0.000496,            0.000496
